PLAYER NAME,TEAM,POS,BYE,FP RANK,SITE RANK,LANDMINE,ADP
Dalton Schultz,HOU,TE,8,151,166,5.5,
Malik Willis,MIA,QB,6,128,167,3.3,
Jauan Jennings,MIN,WR,6,166,169,5.7,
Keenan Allen,IND,WR,13,176,170,5.7,
MarShawn Lloyd,GB,RB,11,103,171,3.3,
Malik Washington,MIA,WR,6,175,172,6.3,
Tre Tucker,LV,WR,13,152,173,4.2,
C.J. Stroud,HOU,QB,8,140,174,4.6,
Daniel Jones,IND,QB,13,141,175,3.2,
Braelon Allen,NYJ,RB,13,162,176,5.2,
Jalen McMillan,TB,WR,10,165,177,4.4,
Terrance Ferguson,LAR,TE,11,180,178,5.4,
Emmett Johnson,KC,RB,5,178,179,5.2,
Isaac TeSlaa,DET,WR,6,198,180,7.8,
Nicholas Singleton,TEN,RB,9,191,181,5.6,
Cam Ward,TEN,QB,9,148,183,4.7,
Jaylin Noel,HOU,WR,8,185,185,5.2,
James Conner,ARI,RB,14,193,186,7.0,
Caleb Douglas,MIA,WR,6,205,187,5.9,
Cooper Kupp,SEA,WR,11,195,189,6.8,
Malachi Fields,NYG,WR,8,213,191,6.2,
Ray Davis,BUF,RB,7,174,192,4.0,
Bryce Young,CAR,QB,5,160,193,4.7,
Pat Bryant,DEN,WR,10,171,193,5.8,
Aaron Rodgers,PIT,QB,9,188,197,6.4,
Greg Dulcich,MIA,TE,6,202,199,6.9,
Germie Bernard,PIT,WR,9,206,200,5.3,
Ryan Flournoy,DAL,WR,14,170,201,4.1,
Kayshon Boutte,HOU,WR,8,164,202,3.9,
Tre' Harris,LAC,WR,7,167,202,3.8,
Rashod Bateman,BAL,WR,13,194,204,4.4,
Gunnar Helm,TEN,TE,9,189,205,5.3,
Keon Coleman,BUF,WR,7,216,206,7.1,
Adonai Mitchell,NYJ,WR,13,159,207,2.1,
Cade Otton,TB,TE,10,207,208,6.6,
